kepoi_name,koi_disposition,target,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad
K00753.01,FALSE POSITIVE,0,19.89913995,1.7822,10829.0,14.6,638.0,39.3,0.969,76.3,5853.0,4.544,0.868
K00754.01,FALSE POSITIVE,0,1.736952453,2.40641,8079.2,33.46,1395.0,891.96,1.276,505.6,5805.0,4.564,0.791
K00755.01,CONFIRMED,2,2.525591777,1.6545,603.3,2.75,1406.0,926.16,0.701,40.9,6031.0,4.438,1.046
K00756.01,CONFIRMED,2,11.09432054,4.5945,1517.5,3.9,835.0,114.81,0.538,66.5,6046.0,4.486,0.972
K00756.02,CONFIRMED,2,4.13443512,3.1402,686.0,2.77,1160.0,427.65,0.762,40.2,6046.0,4.486,0.972
K00115.03,CANDIDATE,1,3.43591631,3.133,23.2,0.55,1272.0,617.61,0.624,8.7,5779.0,4.339,1.087
K00756.03,CONFIRMED,2,2.56658897,2.429,226.5,1.59,1360.0,807.74,0.755,15.0,6046.0,4.486,0.972
K00834.01,CONFIRMED,2,23.65369415,8.2183,3341.8,7.89,731.0,67.65,0.008,266.3,5739.0,4.191,1.384
K00834.02,CONFIRMED,2,13.23352214,6.7372,504.6,3.06,888.0,146.67,0.014,49.1,5739.0,4.191,1.384
K00834.03,CONFIRMED,2,6.15560285,4.9843,285.0,2.32,1146.0,406.94,0.235,35.1,5739.0,4.191,1.384
K00834.04,CONFIRMED,2,2.090811305,3.388,115.9,1.62,1642.0,1718.04,0.746,19.9,5739.0,4.191,1.384
K00834.05,CONFIRMED,2,50.4467417,7.159,370.3,2.67,568.0,24.64,0.379,19.4,5739.0,4.191,1.384
K00119.01,CONFIRMED,2,49.18394185,11.3364,1646.2,8.2,669.0,47.4,0.035,355.7,5626.0,3.907,2.057
K00835.01,CONFIRMED,2,11.76307164,2.9076,1037.3,2.35,616.0,33.99,0.048,48.9,4959.0,4.603,0.756
K00899.03,CONFIRMED,2,15.36845737,2.4714,756.1,1.11,332.0,2.86,0.115,30.9,3561.0,4.855,0.411
K00900.01,CONFIRMED,2,13.81020318,3.048,1309.7,4.56,833.0,113.75,0.791,46.2,5942.0,4.327,1.142
K00901.01,CANDIDATE,1,12.732624065,2.2083,6465.7,4.87,432.0,8.22,0.811,210.5,3950.0,4.721,0.541
K00902.01,CANDIDATE,1,83.92494032,6.7904,7958.7,4.78,226.0,0.62,0.658,182.1,3960.0,4.746,0.509
K00903.01,CONFIRMED,2,5.007316661,4.2362,6932.3,6.96,998.0,234.28,0.344,431.4,5865.0,4.563,0.827
K00126.01,FALSE POSITIVE,0,33.80364366,11.4813,13494.4,20.7,745.0,72.71,0.023,529.9,5855.0,3.999,1.796
K00904.01,CONFIRMED,2,2.211116989,1.6485,724.2,1.85,931.0,177.19,0.69,42.6,4500.0,4.656,0.646
K00961.02,CONFIRMED,2,0.453287416,0.4445,1461.5,0.76,729.0,66.14,0.81,150.4,3292.0,5.215,0.148
K00961.03,CONFIRMED,2,1.865114193,0.4279,1124.8,0.66,455.0,10.1,0.785,56.9,3292.0,5.215,0.148
K00964.01,FALSE POSITIVE,0,3.273699006,3.07626,6862.8,22.36,3060.0,20728.79,0.733,1293.1,10816.0,4.086,2.493
K00965.01,FALSE POSITIVE,0,7.047103499,3.3208,71318.0,51.86,955.0,196.62,1.047,274.9,5730.0,4.417,1.035
K00966.01,FALSE POSITIVE,0,0.379463865,0.86896,1973.3,59.56,3000.0,19256.81,1.246,458.6,5075.0,3.892,1.783
K00967.01,FALSE POSITIVE,0,9.88047978,2.78458,18541.0,23.6,860.0,129.45,1.02,534.5,6113.0,4.512,0.917
K00968.01,FALSE POSITIVE,0,4.6484156,38.1939,128.4,5.06,2259.0,6152.88,0.968,91.7,6980.0,3.577,3.482
K01060.02,CONFIRMED,2,4.75796103,4.66,124.5,1.7,1372.0,835.65,0.621,20.9,6021.0,4.093,1.458
K01060.03,CONFIRMED,2,20.4972755,8.536,242.9,2.96,843.0,119.42,0.966,22.8,6021.0,4.093,1.458
K01060.04,CONFIRMED,2,8.19345065,5.234,115.4,1.74,1144.0,405.75,0.815,15.7,6021.0,4.093,1.458
K01061.01,CONFIRMED,2,41.8059544,6.057,434.4,2.02,533.0,19.02,0.029,28.3,5907.0,4.445,0.973
K01062.01,FALSE POSITIVE,0,15.45158184,2.406,85.3,2.02,1285.0,643.83,0.636,21.0,7839.0,4.08,2.069
K01063.01,FALSE POSITIVE,0,89.698168533,5.5418,273106.0,102.08,554.0,22.33,0.684,3420.3,6214.0,4.021,1.583
K00143.01,CANDIDATE,1,22.65117451,3.6895,2250.0,7.62,855.0,126.57,0.925,170.1,6968.0,4.31,1.333
K01126.02,FALSE POSITIVE,0,475.91706,22.86,967.3,28.22,221.0,0.56,1.222,15.3,5334.0,4.372,1.004
K01127.01,CONFIRMED,2,5.32667299,3.4045,611.4,2.26,1007.0,242.97,0.043,34.1,5831.0,4.517,0.921
K01127.02,CONFIRMED,2,8.1280933,3.727,224.1,1.39,875.0,138.51,0.357,10.7,5831.0,4.517,0.921
K00149.01,CONFIRMED,2,14.55730897,7.7643,956.9,4.32,879.0,141.0,0.036,200.0,5774.0,4.159,1.412
K01127.03,CANDIDATE,1,2.83668931,3.031,166.1,1.19,1242.0,562.48,0.33,12.1,5831.0,4.517,0.921
K01128.01,CONFIRMED,2,0.974868896,1.6191,197.6,1.16,1612.0,1605.87,0.12,82.6,5487.0,4.563,0.832
K01129.01,CONFIRMED,2,4.89721006,1.812,274.4,1.48,904.0,157.93,0.66,16.9,5093.0,4.483,0.847
K01213.01,FALSE POSITIVE,0,0.796722833,2.4551,107.1,1.44,2401.0,7844.64,0.601,43.9,5959.0,4.121,1.334
K01214.01,CONFIRMED,2,4.24153629,2.971,188.1,1.44,1177.0,452.95,0.257,18.0,5776.0,4.34,1.047
K00155.01,CONFIRMED,2,5.660669429,4.6483,737.8,3.24,1115.0,365.53,0.477,201.1,5746.0,4.266,1.173
K01215.01,CONFIRMED,2,17.32419108,8.045,241.3,3.14,964.0,204.1,0.764,49.1,5968.0,3.972,1.857
K01215.02,CONFIRMED,2,33.0063185,7.118,278.1,3.13,778.0,86.38,0.39,38.2,5968.0,3.972,1.857
K01216.01,CONFIRMED,2,11.13127159,4.2372,211.2,2.06,952.0,194.31,0.01,36.8,5800.0,4.202,1.435
K01217.01,FALSE POSITIVE,0,3.47143963,3.663,99.8,1.19,1358.0,805.05,0.719,27.5,6341.0,4.409,1.111
K01297.01,FALSE POSITIVE,0,1.031096352,2.781,265.4,2.36,2020.0,3954.46,0.979,37.8,6371.0,4.426,1.072
K01298.01,CONFIRMED,2,11.00817635,2.013,1462.5,2.15,488.0,13.39,0.025,42.1,4141.0,4.684,0.582
K01298.02,CONFIRMED,2,92.7495777,5.506,1105.1,1.87,240.0,0.78,0.019,18.0,4141.0,4.684,0.582
K01299.01,CONFIRMED,2,52.5008645,14.9066,946.7,12.41,812.0,102.94,0.11,116.2,4976.0,3.331,4.157
K00158.01,FALSE POSITIVE,0,5.80181368,4.119,269.6,4.52,1491.0,1168.82,0.967,35.3,6020.0,3.86,2.097
K01300.01,CONFIRMED,2,0.63133171,1.1487,434.5,1.2,1322.0,726.72,0.726,95.8,4441.0,4.71,0.53
K01301.01,CONFIRMED,2,12.69905011,2.9899,797.4,2.62,686.0,52.55,0.663,30.4,5291.0,4.489,0.882
K01302.01,CONFIRMED,2,55.6391882,7.316,853.0,3.13,478.0,12.33,0.811,48.3,5949.0,4.493,0.962
K01303.01,CANDIDATE,1,34.2966363,19.718,696.6,3.29,584.0,27.6,0.711,66.7,5490.0,4.263,1.167
K01304.01,CONFIRMED,2,4.59726613,2.909,313.0,1.69,1105.0,352.4,0.033,17.0,5999.0,4.494,0.959
K01305.01,CONFIRMED,2,2.633852528,2.0206,259.8,1.38,1131.0,387.43,0.204,23.3,5114.0,4.463,0.878
K01305.02,CONFIRMED,2,6.18670882,2.909,202.6,1.21,851.0,123.96,0.013,14.3,5114.0,4.463,0.878
K01307.02,CONFIRMED,2,20.34237838,2.3351,564.6,2.88,667.0,46.93,0.826,28.7,5514.0,4.345,1.071
K01308.01,CONFIRMED,2,23.58444746,5.5545,429.2,3.0,730.0,66.96,0.711,42.8,5655.0,4.152,1.354
K01309.01,CONFIRMED,2,10.1171684,4.6677,288.7,3.07,1163.0,433.41,0.296,50.6,6306.0,4.077,1.792
K01310.01,CONFIRMED,2,19.12947603,3.9622,451.2,4.23,817.0,105.25,0.861,31.7,5372.0,4.007,1.71
K01310.02,CANDIDATE,1,144.688915,9.468,397.1,3.33,416.0,7.09,0.087,11.6,5372.0,4.007,1.71
K01317.01,FALSE POSITIVE,0,2.171827838,3.2205,42086.0,58.56,1311.0,698.31,1.323,300.6,5650.0,4.513,0.891
K01318.01,FALSE POSITIVE,0,1.634614356,3.4422,19761.5,44.22,1611.0,1597.73,1.229,376.5,6121.0,4.468,0.97
K01319.01,FALSE POSITIVE,0,16.025018977,3.8828,29090.0,1069.01,657.0,44.01,13.239,257.8,5776.0,4.582,0.789
K01320.01,CONFIRMED,2,10.50682978,3.7769,13355.5,9.01,668.0,47.21,0.407,343.4,5127.0,4.589,0.782
K01321.01,FALSE POSITIVE,0,0.711966971,2.0221,6227.5,33.34,1855.0,2808.98,1.268,392.2,5486.0,4.47,0.83
K01327.01,FALSE POSITIVE,0,15.6402515,6.222,800.3,18.11,640.0,39.55,1.167,19.3,5346.0,4.491,0.826
K01328.01,CANDIDATE,1,80.9669561,2.5276,4733.0,5.04,364.0,4.14,0.007,52.0,5611.0,4.61,0.737
K01329.01,CONFIRMED,2,33.1996355,5.022,1112.5,2.85,485.0,13.09,0.017,32.6,5102.0,4.463,0.88
K01330.01,FALSE POSITIVE,0,8.65306587,4.486,1048.1,19.78,633.0,37.94,1.222,43.0,4641.0,4.589,0.694
K01330.02,FALSE POSITIVE,0,94.219289,24.312,1025.9,2.15,285.0,1.57,0.173,37.6,4641.0,4.589,0.694
K01334.02,FALSE POSITIVE,0,94.225938,22.08,530.4,1.93,348.0,3.48,0.213,25.4,5421.0,4.564,0.852
K01335.01,CONFIRMED,2,127.8334997,10.914,1829.9,9.46,554.0,22.21,0.416,76.9,6505.0,3.973,2.17
K01336.01,CONFIRMED,2,10.21864532,3.802,445.3,2.33,920.0,169.13,0.416,26.6,6100.0,4.376,1.083
K01336.02,CONFIRMED,2,15.573637,5.326,468.1,2.94,799.0,96.38,0.946,24.7,6100.0,4.376,1.083
K01336.03,CONFIRMED,2,40.1015561,5.246,550.0,2.92,583.0,27.31,0.868,19.0,6100.0,4.376,1.083
K00733.01,CONFIRMED,2,5.924993927,2.8874,1608.1,3.15,758.0,77.91,0.848,68.5,5016.0,4.641,0.679
K00733.02,CONFIRMED,2,11.34934848,3.1101,1249.8,2.39,610.0,32.75,0.398,41.7,5016.0,4.641,0.679
K00733.03,CONFIRMED,2,3.13295351,2.2207,435.2,1.39,937.0,181.84,0.135,23.9,5016.0,4.641,0.679
K00733.04,CONFIRMED,2,18.64349986,1.8491,813.4,2.14,517.0,16.91,0.774,16.1,5016.0,4.641,0.679
K00734.01,CONFIRMED,2,24.5434566,7.2518,1151.3,3.08,616.0,34.07,0.042,64.5,5955.0,4.52,0.91
K00738.02,CONFIRMED,2,13.28689997,3.2825,1039.6,2.78,715.0,61.8,0.017,41.3,5730.0,4.545,0.87
K00739.01,CONFIRMED,2,1.287076693,1.4942,729.4,1.39,871.0,135.97,0.003,65.2,3736.0,4.724,0.525
K00740.01,CONFIRMED,2,17.6717714,3.4202,918.6,2.44,513.0,16.38,0.86,36.2,4869.0,4.636,0.687
K00741.01,FALSE POSITIVE,0,23.355341391,4.60672,38524.0,21.55,601.0,30.96,0.842,1144.3,5754.0,4.534,0.905
K00742.01,FALSE POSITIVE,0,11.521446064,3.6399,17984.3,150.51,753.0,75.88,2.483,622.1,5795.0,4.554,0.848
K00748.01,FALSE POSITIVE,0,2.696370652,3.6129,397.9,1.58,1066.0,305.34,0.044,48.2,4989.0,4.504,0.819
K00749.01,CONFIRMED,2,5.349553819,3.0278,831.0,2.55,919.0,168.99,0.092,60.6,5185.0,4.44,0.91
K00749.02,CONFIRMED,2,3.94105221,2.5984,363.3,1.7,1018.0,253.15,0.226,28.9,5185.0,4.44,0.91
K00749.03,CONFIRMED,2,8.10904807,3.596,217.4,1.3,800.0,97.03,0.025,14.1,5185.0,4.44,0.91
K00750.01,CONFIRMED,2,21.67699193,3.4555,857.2,2.95,530.0,18.64,0.896,34.3,4954.0,4.5,0.828
K00757.01,CONFIRMED,2,16.06864674,3.5347,4914.3,5.76,600.0,30.75,0.052,161.9,5031.0,4.485,0.848
K00757.02,CONFIRMED,2,41.19725502,4.6297,2213.9,3.86,439.0,8.76,0.045,51.2,5031.0,4.485,0.848
K00757.03,CONFIRMED,2,6.252962249,2.5819,1036.9,2.65,823.0,108.3,0.105,47.1,5031.0,4.485,0.848
K00758.01,CONFIRMED,2,16.01308419,3.2554,1121.9,3.1,593.0,29.31,0.799,33.2,5015.0,4.499,0.826
K00759.01,CONFIRMED,2,32.62876672,4.7971,1804.8,3.36,506.0,15.55,0.021,80.0,5586.0,4.56,0.798
K00759.02,CONFIRMED,2,91.7732862,6.473,652.0,2.12,359.0,3.92,0.606,19.1,5586.0,4.56,0.798
K00760.01,CONFIRMED,2,4.959319244,2.22739,9802.0,12.21,1103.0,349.4,0.831,696.5,5712.0,4.359,1.082
K00835.02,CONFIRMED,2,56.2279271,3.57,862.7,2.37,366.0,4.22,0.7,20.9,4959.0,4.603,0.756
K00836.01,FALSE POSITIVE,0,2.384052875,3.0918,1268.1,17.06,1010.0,244.87,1.178,50.5,4794.0,4.58,0.701
K00837.01,CONFIRMED,2,7.953547,2.6312,875.4,2.25,696.0,55.37,0.3,38.4,4768.0,4.536,0.779
K00837.02,CONFIRMED,2,4.14451656,2.3421,391.8,1.48,864.0,132.08,0.004,22.8,4768.0,4.536,0.779
K00838.01,FALSE POSITIVE,0,4.859386384,2.2757,6044.3,38.33,1114.0,364.23,1.259,269.7,6072.0,4.47,0.988
K00839.01,FALSE POSITIVE,0,2.446737317,4.7211,1177.9,26.25,1261.0,597.19,1.241,110.2,5764.0,4.548,0.863
K00840.01,CONFIRMED,2,3.04033046,1.8411,10858.8,8.99,1021.0,257.29,0.736,568.2,5035.0,4.519,0.791
K00904.02,CONFIRMED,2,27.9541337,3.95,942.5,1.9,400.0,6.04,0.063,25.4,4500.0,4.656,0.646
K00904.03,CONFIRMED,2,42.1406089,5.083,895.5,1.85,349.0,3.49,0.045,21.6,4500.0,4.656,0.646
K00904.04,CONFIRMED,2,4.617490562,2.2618,575.8,1.62,728.0,66.47,0.649,28.1,4500.0,4.656,0.646
K00904.05,CONFIRMED,2,10.19849255,2.4283,634.1,1.75,559.0,23.11,0.714,21.4,4500.0,4.656,0.646
K00905.01,FALSE POSITIVE,0,5.795063956,3.2496,1692.9,4.33,950.0,192.74,0.949,119.4,5865.0,4.563,0.827
K00906.01,CONFIRMED,2,7.15681552,2.5882,867.0,2.47,782.0,88.23,0.45,47.7,5029.0,4.494,0.838
K00906.02,CONFIRMED,2,17.64830851,2.0873,763.3,2.43,579.0,26.49,0.653,23.8,5029.0,4.494,0.838
K00135.01,CONFIRMED,2,3.024092505,2.8021,7765.0,12.14,1489.0,1162.54,0.424,1225.3,6063.0,4.261,1.358
K00969.01,FALSE POSITIVE,0,17.512014768,1.8248,4511.7,13.66,804.0,98.77,0.994,322.3,6224.0,4.33,1.132
K00970.01,FALSE POSITIVE,0,3.9886021,1.7376,673.5,34.39,3145.0,23135.72,0.06,37.1,4813.0,2.472,13.652
K00971.01,CANDIDATE,1,0.533059312,1.8621,1495.8,133.56,5862.0,277887.7,1.263,179.6,8523.0,3.559,4.051
K00972.01,CONFIRMED,2,13.118962443,4.3045,372.2,8.25,1768.0,2310.43,0.042,267.4,7221.0,3.488,4.24
K00972.02,FALSE POSITIVE,0,7.82187328,3.8417,42.2,2.78,2101.0,4601.71,0.005,37.2,7221.0,3.488,4.24
K00974.01,CANDIDATE,1,53.5057611,10.5616,195.6,2.52,675.0,49.16,0.46,71.2,6247.0,4.016,1.762
K01064.01,CANDIDATE,1,1.187352427,4.999,20703.0,67.35,2251.0,6067.3,1.222,717.4,6424.0,4.186,1.489
K01065.01,FALSE POSITIVE,0,4.020628573,4.4085,20901.0,16.94,1232.0,543.92,0.827,282.6,6210.0,4.45,1.033
K01066.01,CANDIDATE,1,5.714817603,3.14126,12294.8,9.29,943.0,187.27,0.096,537.7,5695.0,4.526,0.842
K01067.01,FALSE POSITIVE,0,185.02288222,4.87326,43546.7,49.82,379.0,4.89,1.004,938.2,6025.0,4.237,1.367
K01068.01,FALSE POSITIVE,0,2.897432135,3.1793,1223.7,14.35,2170.0,5240.0,0.967,73.9,5970.0,3.619,2.994
K01069.01,CONFIRMED,2,8.70420525,2.9385,1074.9,2.86,748.0,74.13,0.5,74.0,5074.0,4.474,0.863
K01069.02,CONFIRMED,2,2.46697039,1.6345,308.7,1.56,1139.0,398.42,0.574,29.5,5074.0,4.474,0.863
K01130.01,FALSE POSITIVE,0,2.757794163,2.7644,39043.0,20.05,1231.0,542.43,0.8,349.2,5747.0,4.514,0.891
K01131.01,CANDIDATE,1,0.696125302,2.0054,14966.0,28.44,1645.0,1739.43,1.219,177.2,5245.0,4.594,0.674
K01132.01,FALSE POSITIVE,0,1.914158508,3.2917,7829.2,13.63,1646.0,1730.47,0.942,124.6,6289.0,4.407,1.118
K01133.01,FALSE POSITIVE,0,5.251916208,4.9095,10624.3,37.15,952.0,194.17,1.256,146.3,5542.0,4.52,0.872
K01134.01,FALSE POSITIVE,0,100.3039228,8.702,5450.0,29.55,313.0,2.26,1.256,63.2,5055.0,4.566,0.772
K01134.02,FALSE POSITIVE,0,200.61103346,7.13,449.2,2.47,938.0,183.39,0.583,27.5,5761.0,4.438,0.997
K01135.01,FALSE POSITIVE,0,0.986620248,3.9722,1345.8,43.98,2308.0,6719.67,1.252,117.7,6243.0,4.176,1.385
K01218.01,CONFIRMED,2,29.6193891,4.9595,314.7,1.74,580.0,26.79,0.046,42.5,5618.0,4.401,0.996
K01220.01,CONFIRMED,2,6.40087137,2.5561,133.6,1.91,1109.0,357.44,0.861,24.4,5426.0,4.107,1.421
K01221.01,CONFIRMED,2,30.1599411,7.874,175.9,4.54,836.0,115.69,0.802,32.3,5010.0,3.62,3.051
K01221.02,CONFIRMED,2,51.0771048,11.233,141.5,3.66,702.0,57.28,0.498,24.1,5010.0,3.62,3.051
K01223.01,FALSE POSITIVE,0,7.388833611,5.62857,13063.5,10.66,877.0,139.94,0.799,1509.3,5845.0,4.558,0.838
K01224.01,FALSE POSITIVE,0,2.698021895,23.192,6721.2,52.51,1582.0,1481.76,1.3,647.1,6568.0,4.36,1.211
K00156.01,CONFIRMED,2,8.041347775,2.6332,591.0,1.29,507.0,15.59,0.26,77.5,3980.0,4.722,0.54
K01301.02,CONFIRMED,2,37.5142128,5.303,935.0,2.68,478.0,12.38,0.366,28.9,5291.0,4.489,0.882
K01306.01,CONFIRMED,2,1.796320953,1.9139,210.9,1.2,1367.0,827.82,0.015,22.1,5576.0,4.503,0.829
K01306.02,CONFIRMED,2,3.468073,2.361,243.9,1.29,1098.0,343.57,0.143,20.6,5576.0,4.503,0.829
K00159.01,CONFIRMED,2,8.99088621,4.2447,469.7,2.78,960.0,200.35,0.77,93.6,5881.0,4.315,1.171
K01306.03,CONFIRMED,2,5.9142668,2.661,253.2,1.31,919.0,168.51,0.04,17.4,5576.0,4.503,0.829
K01306.04,CONFIRMED,2,29.2214959,4.014,394.0,1.81,539.0,20.03,0.779,14.6,5576.0,4.503,0.829
K01307.01,CONFIRMED,2,44.8520997,3.5729,780.8,3.35,513.0,16.35,0.807,33.0,5514.0,4.345,1.071
K01311.01,CONFIRMED,2,83.5781976,7.2487,630.8,6.63,655.0,43.62,0.544,54.9,6056.0,3.788,2.562
K01312.01,CONFIRMED,2,6.1469956,3.3153,249.6,2.04,1164.0,433.72,0.083,25.8,6110.0,4.285,1.296
K00159.02,CONFIRMED,2,2.403640701,1.4012,74.9,1.24,1489.0,1164.85,0.918,16.3,5881.0,4.315,1.171
K01313.01,FALSE POSITIVE,0,0.522457732,0.8907,143.8,1.52,2308.0,6715.55,0.967,48.2,5991.0,4.459,0.954
K01314.01,CONFIRMED,2,8.57504983,8.653,160.6,4.26,1374.0,841.68,0.129,36.9,4986.0,3.462,3.464
K01315.01,CANDIDATE,1,6.84639884,3.4919,149.7,1.9,1132.0,387.84,0.9,36.3,6065.0,4.251,1.31
K01316.01,CONFIRMED,2,7.64970832,6.625,55.4,1.43,1144.0,404.99,0.898,28.5,5855.0,4.125,1.613
K01322.01,FALSE POSITIVE,0,17.72724392,4.1073,16878.0,14.77,741.0,71.06,0.825,109.7,6181.0,4.464,1.006
K00160.01,CANDIDATE,1,13.73808249,3.354,660.7,3.84,912.0,163.52,0.957,68.4,6375.0,4.292,1.178
K01323.01,CONFIRMED,2,3.990105908,2.4108,6154.9,7.45,1124.0,378.53,0.582,247.8,5926.0,4.519,0.913
K01324.01,FALSE POSITIVE,0,0.52205862,2.0847,1381.3,27.16,2022.0,3951.57,1.24,169.0,5359.0,4.478,0.878
K01325.01,CONFIRMED,2,10.035381809,3.4062,2829.7,4.42,786.0,90.33,0.079,150.9,5813.0,4.561,0.833
K01326.01,FALSE POSITIVE,0,53.100942624,2.2868,19981.1,24.02,464.0,10.93,0.988,1108.5,5465.0,4.396,0.973
K01331.01,CANDIDATE,1,6.80082032,1.9883,699.9,1.88,697.0,55.83,0.597,25.5,4805.0,4.633,0.688
K00161.01,CONFIRMED,2,3.105507835,1.7458,904.6,2.68,980.0,217.91,0.799,178.6,4989.0,4.585,0.791
K01332.01,CONFIRMED,2,19.30581662,4.2902,709.1,4.0,815.0,104.41,0.001,36.3,5661.0,4.09,1.522
K01332.02,CONFIRMED,2,6.09747233,3.431,217.6,2.22,1197.0,485.84,0.012,17.4,5661.0,4.09,1.522
K01332.03,CONFIRMED,2,56.637918,6.172,589.7,3.68,570.0,24.87,0.298,20.9,5661.0,4.09,1.522
K01333.01,FALSE POSITIVE,0,2.243016513,2.721,299.6,1.37,1167.0,438.46,0.737,59.1,5462.0,4.614,0.732
K01334.01,FALSE POSITIVE,0,8.6531216,4.39,654.8,22.58,772.0,84.05,1.214,35.7,5421.0,4.564,0.852
K00162.01,CONFIRMED,2,14.00640392,4.6919,716.4,3.11,807.0,100.09,0.568,109.3,5788.0,4.323,1.124
K01336.04,CONFIRMED,2,4.45814897,2.867,188.1,1.61,1212.0,511.6,0.754,14.3,6100.0,4.376,1.083
K01337.01,CONFIRMED,2,1.922799706,1.8604,259.7,1.28,1215.0,514.44,0.036,30.1,5194.0,4.559,0.815
K01338.01,CONFIRMED,2,3.222975318,2.9247,232.7,1.47,1239.0,558.65,0.33,31.3,5823.0,4.427,0.96
K01338.02,CANDIDATE,1,42.0370662,6.282,266.8,1.66,527.0,18.16,0.672,14.7,5823.0,4.427,0.96
K01338.03,CANDIDATE,1,21.0112068,4.507,163.6,1.4,663.0,45.79,0.853,10.2,5823.0,4.427,0.96
K01339.01,CONFIRMED,2,4.16811839,2.8084,263.0,2.28,1277.0,628.73,0.709,26.7,5689.0,4.202,1.313
K00001.01,CONFIRMED,2,2.470613377,1.74319,14230.9,13.04,1339.0,761.46,0.818,4304.3,5820.0,4.457,0.964
K00002.01,CONFIRMED,2,2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,0.224,5945.9,6440.0,4.019,1.952
K00011.01,FALSE POSITIVE,0,3.747838198,5.0642,616.0,13.65,1031.0,266.76,1.121,138.2,5514.0,4.569,0.826
K00112.02,CONFIRMED,2,3.709214104,2.6302,131.1,1.16,1206.0,500.46,0.051,50.6,5833.0,4.407,1.022
K00732.01,CONFIRMED,2,1.260258822,1.8594,1130.7,3.57,1569.0,1435.82,0.791,128.2,5550.0,4.5,0.954
K00732.02,CANDIDATE,1,3.29534567,1.902,141.9,1.23,1139.0,397.37,0.729,10.4,5550.0,4.5,0.954
K00732.03,CONFIRMED,2,5.25449393,3.078,169.0,1.41,975.0,213.25,0.837,12.6,5550.0,4.5,0.954
K00734.02,CANDIDATE,1,70.2780911,2.466,781.6,2.54,434.0,8.38,0.07,14.9,5955.0,4.52,0.91
K00735.01,CANDIDATE,1,22.34213536,6.461,2264.4,5.19,526.0,18.14,0.973,51.9,5237.0,4.568,0.707
K00114.01,FALSE POSITIVE,0,7.36178958,5.022,233.7,39.21,1342.0,767.22,1.169,47.7,6227.0,3.986,1.958
K00736.01,CONFIRMED,2,18.79418506,3.2906,1529.0,2.33,412.0,6.79,0.356,40.2,4126.0,4.668,0.602
K00736.02,CONFIRMED,2,6.73893544,2.813,601.3,1.44,579.0,26.64,0.043,24.2,4126.0,4.668,0.602
K00737.01,FALSE POSITIVE,0,14.49839316,3.7343,3271.1,5.16,607.0,32.22,0.91,125.6,5268.0,4.602,0.735
K00738.01,CONFIRMED,2,10.3392408,3.075,1184.6,2.98,777.0,86.46,0.15,51.4,5730.0,4.545,0.87
K00743.01,FALSE POSITIVE,0,19.40393776,12.2155,8918.7,7.18,523.0,17.69,0.804,214.7,5043.0,4.591,0.68
K00115.01,CONFIRMED,2,5.412203927,2.9472,601.6,2.94,1093.0,337.68,0.787,166.7,5779.0,4.339,1.087
K00744.01,FALSE POSITIVE,0,19.221388942,4.79843,74284.0,49.29,698.0,55.97,1.065,2317.0,6117.0,4.496,0.947
K00744.02,FALSE POSITIVE,0,2.03746414,2.895,138.8,1.12,1474.0,1118.26,0.008,14.1,6117.0,4.496,0.947
K00745.01,FALSE POSITIVE,0,16.46983774,9.4378,10478.9,7.94,595.0,29.61,0.292,303.4,5152.0,4.517,0.786
K00746.01,CONFIRMED,2,9.27358173,3.2875,1288.3,2.47,649.0,41.85,0.387,87.2,4856.0,4.583,0.696
K00747.01,CONFIRMED,2,6.02930329,1.5821,1912.7,2.85,678.0,50.04,0.258,65.4,4537.0,4.648,0.672
K00115.02,CONFIRMED,2,7.12594387,3.0014,192.4,1.79,997.0,233.31,0.898,47.1,5779.0,4.339,1.087
K00761.01,FALSE POSITIVE,0,2.701287801,3.3827,860.4,6.54,1222.0,527.81,1.016,48.3,5550.0,4.468,0.91
K00762.01,CONFIRMED,2,4.49876511,3.7362,460.0,2.1,1133.0,389.62,0.312,29.5,6075.0,4.486,0.969
K00116.01,CONFIRMED,2,13.57078281,3.3539,511.7,2.64,785.0,89.61,0.866,88.4,5854.0,4.406,1.012
K00763.01,FALSE POSITIVE,0,19.651209505,5.2514,11766.3,12.42,730.0,67.03,0.723,513.4,6074.0,4.391,1.063
K00764.01,CONFIRMED,2,41.43958662,10.5989,2793.1,5.5,516.0,16.72,0.355,141.1,5468.0,4.367,1.046
K00765.01,CONFIRMED,2,8.35389523,2.2514,1041.6,2.52,790.0,91.9,0.023,43.4,5592.0,4.582,0.787
K00766.01,CONFIRMED,2,4.125543472,3.1744,1487.3,4.43,1243.0,565.35,0.597,128.6,6174.0,4.417,1.103
K00841.01,CONFIRMED,2,15.33528675,3.897,3081.4,5.0,610.0,32.67,0.773,86.6,5251.0,4.581,0.817
K00841.02,CONFIRMED,2,31.33046135,5.176,5073.8,6.5,481.0,12.61,0.798,117.2,5251.0,4.581,0.817
K00119.02,CONFIRMED,2,190.3200468,15.284,1141.7,7.78,426.0,7.8,0.812,139.3,5626.0,3.907,2.057
K00841.03,CONFIRMED,2,6.54626149,2.75,655.9,2.19,810.0,101.78,0.644,24.8,5251.0,4.581,0.817
